Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,15.859429,15.944529,15.754989,15.917452,10.543346,48051995
1996-01-02,15.878770,15.956133,15.677626,15.793671,10.461358,77875009
1996-01-03,16.052837,16.783918,15.878770,15.913584,10.540785,96602936
1996-01-04,15.762726,15.813012,15.553845,15.766594,10.443419,100099436
1996-01-05,15.704703,15.704703,15.522900,15.658285,10.371678,76935930
1996-01-08,15.627340,15.638945,14.876918,15.031645,9.956609,86288584
1996-01-09,14.586807,14.853709,14.099419,14.598411,9.669642,179415702
1996-01-10,14.312168,14.656434,14.157442,14.223200,9.421114,127653926
1996-01-11,14.080079,14.737665,14.060738,14.668038,9.715764,189051436
1996-01-12,14.776346,14.888523,14.416608,14.513312,9.613277,172918416
1996-01-15,14.470762,14.544257,14.281223,14.362454,9.513354,92291448
1996-01-16,14.312168,14.466894,14.265750,14.389531,9.531287,100259719
1996-01-17,14.312168,14.331509,13.697132,13.817044,9.152086,138279150
1996-01-18,13.465042,13.685527,13.290975,13.434097,8.898431,174217485
1996-01-19,13.248426,13.414756,13.109172,13.198140,8.742139,149773006
1996-01-22,13.240689,13.596560,13.229085,13.422493,8.890744,156270292
1996-01-23,13.468910,13.526933,12.146002,12.853874,8.514104,163795200
1996-01-24,12.741698,12.819061,12.223365,12.412905,8.222017,162072156
1996-01-25,12.385827,12.439982,11.817209,11.890704,7.876124,166534879
1996-01-26,11.890704,11.890704,11.890704,11.890704,7.876124,0
1996-01-29,11.836550,12.938973,11.763055,12.826797,8.496169,301314299
1996-01-30,13.229085,14.621620,13.035677,13.979507,9.259696,490083300
1996-01-31,13.847990,14.370190,13.325789,13.673923,9.057286,337615209
1996-02-01,13.538537,14.312168,13.499856,14.223200,9.421114,295555091
1996-02-02,14.602279,15.936792,14.602279,15.766594,10.443419,377841766
1996-02-05,16.633060,17.422163,16.134068,17.077898,11.311998,564175497
1996-02-06,17.487923,17.793507,15.286943,15.646681,10.363993,573328443
1996-02-07,14.780215,16.091518,14.625488,15.936792,10.556158,413246254
1996-02-08,16.099255,17.611704,15.936792,17.329329,11.478540,379193186
1996-02-09,17.948233,18.721863,17.337065,18.335049,12.144707,458934072
1996-02-12,17.870869,18.180323,16.942513,17.186207,11.383739,448392867
1996-02-13,17.019875,18.888193,16.872887,18.219004,12.067840,470284449
1996-02-14,18.683182,18.950085,18.091354,18.230608,12.075528,287264960
1996-02-15,17.793507,18.373730,17.638781,17.940496,11.883364,322651352
1996-02-16,17.638781,17.812847,17.487923,17.623306,11.673265,228740914
1996-02-19,17.948233,18.195793,17.696802,17.801243,11.791123,239163846
1996-02-20,17.793507,17.867001,16.633060,16.861280,11.168517,294959199
1996-02-21,16.861280,16.861280,16.861280,16.861280,11.168517,0
1996-02-22,17.251965,17.870869,17.101107,17.750957,11.757818,283157057
1996-02-23,17.716143,17.754826,17.267437,17.561417,11.632270,252022694
1996-02-26,17.754826,18.122299,17.487923,17.600100,11.657892,251499188
1996-02-27,17.700670,17.793507,17.101107,17.398954,11.524658,250359756
1996-02-28,17.735483,17.932760,17.445372,17.484055,11.581025,197441744
1996-02-29,17.329329,17.391218,16.284925,16.389366,10.855931,322080020
1996-03-01,16.517015,16.725897,16.134068,16.482203,10.917423,333743853
1996-03-04,16.555696,16.633060,16.122463,16.312002,10.804688,310777470
1996-03-05,16.312002,16.312002,16.312002,16.312002,10.804688,0
1996-03-06,16.594379,17.004402,16.447390,16.892225,11.189012,250989255
1996-03-07,17.128183,17.426031,16.961853,17.043083,11.288937,394310217
1996-03-08,16.826468,17.019875,16.613720,16.954117,11.230009,298510635
1996-03-11,16.710423,17.058558,16.644665,17.008270,11.265878,291248773
1996-03-12,16.981194,18.412411,16.903831,17.882475,11.844934,370589598
1996-03-13,17.406691,17.658121,17.193941,17.576891,11.642518,266615573
1996-03-14,17.561417,17.747087,17.445372,17.573021,11.639956,275797603
1996-03-15,17.480186,17.534340,16.865149,16.996668,11.258193,287257851
1996-03-18,16.822599,16.865149,16.161144,16.223036,10.745758,307967990
1996-03-19,16.168882,16.462860,14.892391,15.225052,10.084717,478710303
1996-03-20,15.225052,15.225052,15.225052,15.225052,10.084717,0
1996-03-21,15.859429,16.486071,15.859429,16.315872,10.807251,309417002
1996-03-22,16.010286,16.010286,15.356569,15.654417,10.369119,311431529
1996-03-25,15.855561,15.944529,15.337229,15.561582,10.307627,210982442
1996-03-26,15.472614,15.782066,14.969754,15.461010,10.241011,245693447
1996-03-27,16.014156,16.242376,15.940661,16.010286,10.604836,174091456
1996-03-28,16.052837,16.300400,15.998683,16.219168,10.743196,165867248
1996-03-29,16.199827,16.304268,15.952265,16.002550,10.599713,150429650
1996-04-01,16.072178,16.207563,15.936792,16.153408,10.699639,114225685
1996-04-02,16.188223,16.400970,16.033497,16.195959,10.727822,169566688
1996-04-03,16.559565,16.741367,16.292664,16.331345,10.817499,137080258
1996-04-04,16.168882,16.192091,15.967738,16.137936,10.689388,111609450
1996-04-05,16.137936,16.137936,16.137936,16.137936,10.689388,0
1996-04-08,16.342949,16.493807,16.238508,16.408707,10.868741,105272447
1996-04-09,16.613720,16.803259,16.342949,16.428047,10.881554,147764942
1996-04-10,16.633060,16.706554,16.354553,16.420313,10.876430,131575048
1996-04-11,16.265587,16.362289,16.157276,16.250113,10.763692,99907484
1996-04-12,16.250113,16.826468,16.176619,16.694950,11.058342,157421358
1996-04-15,17.019875,17.464712,16.985062,17.124315,11.342742,219956361
1996-04-16,17.174603,17.387350,17.019875,17.162996,11.368365,179494551
1996-04-17,17.638781,18.083618,17.472448,17.894077,11.852617,189218828
1996-04-18,18.451092,18.973293,18.307970,18.876589,12.503410,316699546
1996-04-19,19.031315,19.379450,18.841776,18.996502,12.582836,303633881
1996-04-22,19.186043,19.224724,18.296366,18.393070,12.183135,266680850
1996-04-23,18.222872,18.470432,17.986914,18.269289,12.101146,263173363
1996-04-24,19.116415,19.967409,19.046787,19.750792,13.082460,246856146
1996-04-25,19.882309,20.307806,18.412411,18.745071,12.416297,286231521
1996-04-26,18.721863,19.143492,18.257685,18.911404,12.526467,291913819
1996-04-29,18.721863,18.818567,18.393070,18.756676,12.423980,194330440
1996-04-30,18.721863,19.340769,18.605818,18.926874,12.536720,198150092
1996-05-01,20.655939,20.880293,20.443192,20.582445,13.633327,228659480
1996-05-02,20.423851,20.702358,20.114397,20.597918,13.643577,233965629
1996-05-03,20.419983,20.539894,20.037035,20.129871,13.333554,227763058
1996-05-06,19.650221,19.758528,18.899797,19.000370,12.585401,272775489
1996-05-07,18.973293,19.375582,18.899797,19.232458,12.739127,253182808
1996-05-08,18.876589,19.611538,18.644501,19.336901,12.808307,362581901
1996-05-09,18.973293,19.371714,18.760546,18.864985,12.495720,281236890
1996-05-10,18.412411,18.772148,18.300234,18.667709,12.365053,279802097
1996-05-13,18.915272,19.178305,18.806961,19.062262,12.626393,183848049
1996-05-14,19.031315,19.719847,18.934612,19.592197,12.977412,300443728
1996-05-15,19.282745,19.804947,18.880457,19.634747,13.005599,423307256
1996-05-16,19.862968,20.153080,19.615408,19.746923,13.079897,317762715
1996-05-17,19.340769,19.572857,19.247932,19.356239,12.821116,260880925
1996-05-20,19.108679,19.139624,18.690918,18.748940,12.418854,150502036
1996-05-21,18.636765,18.876589,18.528456,18.683182,12.375301,210555235
1996-05-22,18.876589,18.969425,18.725731,18.783754,12.441918,147373929
1996-05-23,18.659973,18.737335,18.536192,18.629026,12.339427,135998347
1996-05-24,18.806961,18.861116,18.706390,18.803095,12.972079,109273710
1996-05-27,18.644501,18.644501,18.219004,18.249949,12.590465,178076562
1996-05-28,17.870869,17.870869,17.449242,17.658121,12.182168,251769989
1996-05-29,18.029465,18.915272,18.029465,18.663841,12.876011,237508017
1996-05-30,18.799227,18.853380,18.203529,18.323442,12.641171,243719637
1996-05-31,18.586477,18.605818,18.265421,18.439487,12.721228,205805553
1996-06-03,18.799227,19.069998,18.683182,19.004238,13.110846,225656109
1996-06-04,19.336901,19.452944,18.393070,18.733467,12.924041,331911584
1996-06-05,18.953953,18.953953,18.447224,18.613556,12.841316,154048948
1996-06-06,18.872721,19.263405,18.799227,18.919140,13.052134,152774438
1996-06-07,18.652237,18.992634,18.625158,18.903666,13.041460,103358097
1996-06-10,18.837908,18.915272,18.644501,18.733467,12.924041,83777696
1996-06-11,18.644501,18.760546,18.482038,18.586477,12.822635,113388076
1996-06-12,18.876589,19.066130,18.729599,18.868853,13.017445,92464011
1996-06-13,18.837908,18.942348,18.733467,18.795359,12.966742,53970839
1996-06-14,18.876589,19.031315,18.814699,18.992634,13.102838,56612280
1996-06-17,19.050655,19.050655,18.687050,18.733467,12.924041,49769869
1996-06-18,18.644501,18.644501,18.033333,18.253817,12.593137,88215860
1996-06-19,18.257685,18.335049,17.565285,17.708406,12.216863,110408618
1996-06-20,17.561417,17.812847,17.368010,17.735483,12.235543,131363060
1996-06-21,17.631044,17.747087,17.143656,17.244228,11.896631,162938202
1996-06-24,17.104975,17.251965,16.834204,17.097239,11.795223,141955323
1996-06-25,17.174603,17.251965,16.400970,16.737499,11.547042,161155698
1996-06-26,16.841940,16.841940,16.335213,16.416445,11.325551,136660807
1996-06-27,16.265587,16.865149,16.064442,16.710423,11.528362,248655454
1996-06-28,16.865149,17.155260,16.366158,16.524752,11.400271,350497324
1996-07-01,16.327477,16.841940,15.975474,16.149542,11.141418,255440991
1996-07-02,16.161144,16.315872,15.704703,15.809143,10.906575,262167715
1996-07-03,15.588659,15.623472,14.582939,14.749269,10.175379,297888892
1996-07-04,14.486235,15.147689,14.250277,14.695115,10.138021,372326861
1996-07-05,14.834369,14.969754,14.277355,14.474630,9.985910,274724739
1996-07-08,14.772478,16.014156,14.432081,14.586807,10.063302,160540417
1996-07-09,14.470762,16.014156,13.306448,13.871198,9.569607,250056639
1996-07-10,13.383811,13.921484,13.314184,13.635241,9.406822,221504258
1996-07-11,13.809308,14.118760,13.581087,13.670054,9.430840,211480095
1996-07-12,13.577219,13.612032,13.039545,13.159458,9.078587,317962422
1996-07-15,13.074359,14.544257,12.850006,13.890539,9.582952,668662040
1996-07-16,15.472614,16.799391,15.472614,16.776182,11.573730,396249127
1996-07-17,16.168882,17.716143,15.905847,17.074030,11.779212,514784362
1996-07-18,17.325460,17.928892,17.325460,17.897945,12.347624,391626120
1996-07-19,18.060410,18.795359,18.060410,18.783754,12.958734,181625412
1996-07-22,18.180323,19.162832,17.360273,18.505245,12.766594,187198485
1996-07-23,19.186043,19.433603,18.284761,18.663841,12.876011,225213391
1996-07-24,18.184191,18.184191,16.799391,16.845810,11.621766,206647686
1996-07-25,16.694950,16.942513,16.006418,16.087650,11.098720,273956285
1996-07-26,16.014156,16.354553,15.658285,16.095387,11.104055,246477412
1996-07-29,16.312002,16.884489,16.215300,16.416445,11.325551,204151663
1996-07-30,16.176619,16.246244,15.596395,15.983210,11.026665,190109434
1996-07-31,16.091518,16.768444,15.302415,16.540224,11.410945,193652468
1996-08-01,16.861280,17.019875,16.137936,16.238508,11.202794,264780072
1996-08-02,16.184355,16.358421,15.898111,16.018024,11.050684,167979367
1996-08-05,15.983210,16.083782,15.708571,15.770462,10.879894,105914226
1996-08-06,15.704703,16.207563,15.561582,15.932924,10.991973,152612862
1996-08-07,15.994815,16.362289,15.898111,16.288794,11.237485,141167479
1996-08-08,16.393234,16.493807,15.898111,15.971606,11.018660,132457251
1996-08-09,15.998683,16.199827,15.859429,16.099255,11.106725,109835994
1996-08-12,16.168882,16.288794,16.021893,16.095387,11.104055,89253176
1996-08-13,16.052837,16.319740,15.998683,16.188223,11.168102,90655654
1996-08-14,15.909715,16.207563,15.909715,15.967738,11.015992,79389943
1996-08-15,15.967738,15.967738,15.967738,15.967738,11.015992,0
1996-08-16,15.975474,16.083782,15.824616,15.967738,11.015992,69769074
1996-08-19,15.898111,15.936792,15.170898,15.259866,10.527637,103804046
