Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,145.529999,147.100006,144.550003,146.490005,138.945892,4988895
2016-01-04,145.979996,145.979996,140.220001,141.149994,133.880875,12693585
2016-01-05,141.800003,142.619995,139.679993,141.539993,134.250809,10345630
2016-01-06,142.389999,143.380005,140.300003,140.770004,133.520462,8329590
2016-01-07,138.580002,138.580002,135.139999,135.770004,128.777939,12052960
2016-01-08,137.000000,139.800003,136.669998,138.740005,131.595001,12796475
2016-01-11,137.000000,140.929993,135.250000,138.899994,131.746750,14801465
2016-01-12,139.509995,139.889999,133.679993,134.589996,127.658730,15401165
2016-01-13,136.300003,137.970001,132.020004,136.539993,129.508301,24823865
2016-01-14,134.589996,135.729996,132.399994,134.839996,127.895859,17869410
2016-01-15,136.000000,136.720001,132.020004,132.740005,125.903999,18152225
2016-01-18,132.199997,134.009995,130.339996,131.199997,124.443298,18905815
2016-01-19,132.600006,137.300003,131.500000,136.250000,129.233231,24393180
2016-01-20,134.779999,135.160004,126.309998,129.250000,122.593727,26445660
2016-01-21,131.009995,134.600006,129.490005,130.860001,124.120819,20534760
2016-01-22,133.399994,137.940002,132.350006,136.800003,129.754898,16567570
2016-01-25,138.380005,139.020004,134.699997,135.500000,128.521866,9817820
2016-01-27,136.020004,136.960007,133.000000,135.610001,128.626205,10075060
2016-01-28,135.970001,137.279999,133.529999,134.309998,127.393150,16022000
2016-01-29,132.600006,149.899994,130.229996,149.360001,141.668091,87063495
2016-02-01,150.880005,155.160004,148.899994,154.479996,146.524414,55294340
2016-02-02,154.479996,157.000000,152.080002,152.860001,144.987839,32985285
2016-02-03,150.270004,157.800003,150.009995,155.539993,147.529800,29323850
2016-02-04,156.940002,157.589996,150.850006,151.869995,144.048813,29722165
2016-02-05,151.839996,155.979996,151.839996,155.410004,147.406509,15978405
2016-02-08,155.039993,157.899994,153.000000,153.669998,145.756104,16112350
2016-02-09,151.710007,153.779999,148.300003,149.369995,141.677536,19050925
2016-02-10,148.419998,149.350006,145.520004,147.070007,139.496033,21933695
2016-02-11,147.000000,147.960007,141.919998,142.889999,135.531265,15571410
